0	0	0	1
1	1	1	1
2	1	1	1
3	1	1	1
4	1	1	1
5	1	1	1
6	1	1	1
7	2	1	1
8	2	1	1
9	2	1	1
10	2	1	1
11	2	1	1
12	2	1	1
13	3	1	1
14	4	1	1
15	4	1	1
16	5	1	1
17	6	1	1
18	6	1	1
6	6	1	1
19	6	1	1
20	6	1	1
9	7	1	1
17	6	2	1
18	6	2	1
6	6	2	1
19	6	2	1
20	6	2	1
21	8	2	1
17	8	2	1
22	8	2	1
23	8	2	1
24	8	2	1
25	8	2	1
15	8	2	1
26	8	2	1
27	8	2	1
28	9	2	1
8	9	2	1
29	9	2	1
7	2	2	1
8	2	2	1
9	2	2	1
10	2	2	1
11	2	2	1
12	2	2	1
30	10	2	1
17	11	3	1
31	11	3	1
23	11	3	1
26	11	3	1
32	11	3	1
9	11	3	1
33	11	3	1
34	11	3	1
35	11	3	1
25	11	3	1
36	11	3	1
37	11	3	1
10	11	3	1
20	11	3	1
16	11	3	1
38	11	3	1
11	11	3	1
1	12	3	1
14	12	3	1
39	12	3	1
40	12	3	1
41	12	3	1
42	12	3	1
43	12	3	1
44	12	3	1
34	12	3	1
45	12	3	1
46	12	3	1
10	12	3	1
1	13	4	1
47	13	4	1
48	13	4	1
49	13	4	1
50	13	4	1
1	14	4	1
17	14	4	1
16	14	4	1
51	14	4	1
52	14	4	1
53	14	4	1
50	14	4	1
13	14	4	1
54	14	4	1
55	15	5	1
56	15	5	1
57	15	5	1
58	15	5	1
16	15	5	1
59	15	5	1
6	15	5	1
60	15	5	1
12	16	5	1
61	17	5	1
1	18	5	1
30	18	5	1
1	1	5	1
2	1	5	1
3	1	5	1
4	1	5	1
5	1	5	1
6	1	5	1
1	12	6	1
14	12	6	1
39	12	6	1
40	12	6	1
41	12	6	1
42	12	6	1
43	12	6	1
44	12	6	1
34	12	6	1
45	12	6	1
46	12	6	1
10	12	6	1
1	18	6	1
30	18	6	1
62	19	7	1
14	20	7	1
23	21	7	1
63	22	7	1
4	22	7	1
18	22	7	1
64	22	7	1
25	22	7	1
19	22	7	1
9	22	7	1
65	22	7	1
66	22	7	1
8	22	7	1
67	22	7	1
68	22	7	1
35	22	7	1
45	22	7	1
6	22	7	1
46	22	7	1
63	23	7	1
58	23	7	1
4	23	7	1
23	23	7	1
18	23	7	1
39	23	7	1
25	23	7	1
40	23	7	1
62	23	7	1
19	23	7	1
16	24	7	1
1	24	7	1
31	24	7	1
4	24	7	1
69	24	7	1
62	24	7	1
70	24	7	1
47	13	8	1
